,EmployeeNumber,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
2037,5568,44.0,Travel_Frequently,1193.0,Research & Development,2.0,1.0,Medical,1.0,2.0,Male,86.0,3.0,3.0,Manufacturing Director,3.0,Single,10209.0,19719.0,5.0,Y,Yes,18.0,3.0,2.0,80.0,0.0,16.0,2.0,2.0,3335.0,2.0,2.0,2.0,Yes
2039,5570,31.0,Travel_Rarely,691.0,Research & Development,716417.0,4.0,Technical Degree,1.0,3.0,Male,86.0,3.0,1.0,Research Scientist,4.0,Married,4821.0,10077.0,0.0,Y,Yes,12.0,3.0,3.0,80.0,1.0,6.0,4.0,3.0,5.0,2.0,0.0,3.0,Yes
2040,5571,29.0,Travel_Rarely,1082.0,Research & Development,9.0,4.0,Medical,1.0,4.0,Female,43.0,3.0,1.0,Laboratory Technician,3.0,Married,2974.0,25412.0,9.0,Y,No,17.0,3.0,3.0,80.0,1.0,9.0,2.0,3.0,5.0,3.0,1.0,2.0,No
2041,5572,29.0,Travel_Rarely,1082.0,Research & Development,9.0,4.0,Medical,1.0,4.0,Female,43.0,3.0,1.0,Laboratory Technician,3.0,Married,2974.0,25412.0,9.0,Y,No,17.0,3.0,3.0,80.0,1.0,9.0,2.0,3.0,5.0,3.0,1.0,2.0,No
2042,5573,29.0,Travel_Rarely,1082.0,Research & Development,9.0,4.0,Medical,1.0,4.0,Female,43.0,3.0,1.0,Laboratory Technician,3.0,Married,2974.0,25412.0,9.0,Y,No,17.0,3.0,3.0,80.0,1.0,9.0,2.0,3.0,5.0,3.0,1.0,2.0,No
2046,5577,45.0,Travel_Rarely,1448.0,Research & Development,29.0,3.0,Technical Degree,1.0,2.0,Male,55.0,3.0,3.0,Manufacturing Director,4.0,Married,9380.0,14720.0,4.0,Y,Yes,18.0,3.0,4.0,80.0,2.0,5482.0,4.0,4.0,3.0,1.0,1.0,2.0,No
2048,5579,40.0,Travel_Rarely,369.0,Research & Development,8.0,2.0,Life Sciences,1.0,2.0,Female,92.0,3.0,2.0,Manufacturing Director,1.0,Married,6516.0,5041.0,2.0,Y,Yes,16.0,3.0,2.0,80.0,1.0,18.0,3.0,3.0,1.0,0.0,0.0,0.0,Yes
2049,5580,40.0,Travel_Rarely,369.0,Research & Development,8.0,2.0,Life Sciences,1.0,2.0,Female,92.0,3.0,2.0,Manufacturing Director,1.0,Married,6516.0,5041.0,2.0,Y,Yes,16.0,3.0,2.0,80.0,1.0,18.0,3.0,3.0,1.0,0.0,0.0,0.0,No
2050,5581,56.0,Travel_Rarely,310.0,Research & Development,7.0,2.0,Technical Degree,1.0,4.0,Male,72.0,3.0,1.0,Laboratory Technician,3.0,Married,2339.0,3666.0,8.0,Y,No,11.0,3.0,4.0,80.0,1.0,14.0,4.0,1.0,10.0,9.0,9.0,8.0,Yes
2051,5582,56.0,Travel_Rarely,310.0,Research & Development,7.0,2.0,Technical Degree,1.0,4.0,Male,72.0,3.0,1.0,Laboratory Technician,3.0,Married,2339.0,3666.0,8.0,Y,No,11.0,3.0,4.0,80.0,1.0,14.0,4.0,1.0,10.0,9.0,9.0,8.0,Yes
2053,5584,31.0,Travel_Frequently,1125.0,Research & Development,1.0,3.0,Life Sciences,1.0,4.0,Male,48.0,1.0,2.0,Research Scientist,1.0,Married,5003.0,5771.0,1.0,Y,No,21.0,4.0,2.0,80.0,0.0,10.0,6.0,3.0,10.0,8.0,5392.0,7.0,Yes
2054,5585,31.0,Travel_Frequently,1125.0,Research & Development,1.0,3.0,Life Sciences,1.0,4.0,Male,48.0,1.0,2.0,Research Scientist,1.0,Married,5003.0,5771.0,1.0,Y,No,21.0,4.0,2.0,80.0,0.0,10.0,6.0,3.0,10.0,8.0,5392.0,7.0,Yes
2056,5587,46.0,Travel_Rarely,1402.0,Sales,2.0,3.0,Marketing,1.0,3.0,Female,69.0,3.0,4.0,Manager,1.0,Married,17048.0,24097.0,8.0,Y,No,23.0,4.0,1.0,80.0,0.0,28.0,2.0,3.0,26.0,4435.0,15.0,9.0,Yes
2057,5588,46.0,Travel_Rarely,1402.0,Sales,2.0,3.0,Marketing,1.0,3.0,Female,69.0,3.0,4.0,Manager,1.0,Married,17048.0,24097.0,8.0,Y,No,23.0,4.0,1.0,80.0,0.0,28.0,2.0,3.0,26.0,4435.0,15.0,9.0,Yes
2061,5592,27.0,Travel_Rarely,1377.0,Sales,2.0,3.0,Life Sciences,1.0,4.0,Male,74.0,3.0,2.0,Sales Executive,3.0,Single,4478.0,5242.0,1.0,Y,Yes,11.0,3.0,1.0,80.0,0.0,5.0,3.0,3.0,5.0,4.0,0.0,5242.0,Yes
2064,5595,58.0,Travel_Frequently,781.0,Research & Development,2.0,1.0,Life Sciences,1.0,4.0,Male,57.0,2.0,1.0,Laboratory Technician,4.0,Divorced,2380.0,13384.0,9.0,Y,Yes,14.0,3.0,4.0,80.0,1.0,3.0,3.0,2.0,1.0,0.0,3486.0,0.0,Yes
2066,5597,38.0,Travel_Rarely,1380.0,Research & Development,546730.0,2.0,Life Sciences,1.0,3.0,Female,75.0,3.0,1.0,Laboratory Technician,4.0,Single,2288.0,6319.0,1.0,Y,No,12.0,3.0,3.0,80.0,0.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,Yes
2068,5599,26.0,Travel_Rarely,991.0,Research & Development,6.0,3.0,Life Sciences,1.0,3.0,Female,71.0,3.0,1.0,Laboratory Technician,4.0,Married,2659.0,17759.0,1.0,Y,Yes,13.0,3.0,3.0,80.0,1.0,3.0,2.0,3.0,3.0,2.0,0.0,2.0,No
2069,5600,26.0,Travel_Rarely,703.0,Sales,28.0,2.0,Marketing,1.0,1.0,Male,66.0,3.0,2.0,Sales Executive,2.0,Married,6272.0,7428.0,1.0,Y,No,20.0,4.0,4.0,80.0,2.0,6.0,5.0,4.0,5.0,3.0,1.0,4.0,No
2071,5602,26.0,Travel_Rarely,703.0,Sales,28.0,2.0,Marketing,1.0,1.0,Male,66.0,3.0,2.0,Sales Executive,2.0,Married,6272.0,7428.0,1.0,Y,No,20.0,4.0,4.0,80.0,2.0,6.0,5.0,4.0,5.0,3.0,1.0,4.0,No
2075,5606,29.0,Travel_Rarely,806.0,Research & Development,743173.0,3.0,Technical Degree,1.0,2.0,Female,39.0,3.0,1.0,Laboratory Technician,3.0,Divorced,3339.0,17285.0,3.0,Y,Yes,13.0,3.0,1.0,80.0,2.0,10.0,2.0,3.0,7.0,7.0,7.0,7.0,Yes
2076,5607,42.0,Travel_Frequently,458.0,Research & Development,26.0,5.0,Medical,1.0,1.0,Female,60.0,3.0,3.0,Research Director,1.0,Married,13191.0,23281.0,3.0,Y,Yes,17.0,3.0,3.0,80.0,0.0,20.0,6.0,3.0,1.0,0.0,0.0,0.0,No
2077,5608,42.0,Travel_Frequently,458.0,Research & Development,26.0,5.0,Medical,1.0,1.0,Female,60.0,3.0,3.0,Research Director,1.0,Married,13191.0,23281.0,3.0,Y,Yes,17.0,3.0,3.0,80.0,0.0,20.0,6.0,3.0,1.0,0.0,0.0,0.0,No
2078,5609,42.0,Travel_Frequently,458.0,Research & Development,26.0,5.0,Medical,1.0,1.0,Female,60.0,3.0,3.0,Research Director,1.0,Married,13191.0,23281.0,3.0,Y,Yes,17.0,3.0,3.0,80.0,0.0,20.0,6.0,3.0,1.0,0.0,0.0,0.0,No
2080,5611,37.0,Travel_Rarely,342.0,Sales,16.0,4.0,Marketing,1.0,4.0,Male,66.0,2.0,2.0,Sales Executive,3.0,Divorced,6334.0,24558.0,4.0,Y,No,19.0,3.0,4.0,80.0,2.0,9714.0,2.0,3.0,1.0,0.0,0.0,0.0,Yes
2082,5613,38.0,Travel_Rarely,1333.0,Research & Development,150886.0,3.0,Technical Degree,1.0,4.0,Female,80.0,3.0,3.0,Research Director,1.0,Married,13582.0,16292.0,1.0,Y,No,13.0,3.0,2.0,80.0,1.0,15.0,3.0,3.0,15.0,12.0,5.0,11.0,Yes
2084,5615,41.0,Travel_Rarely,263.0,Research & Development,946786.0,3.0,Medical,1.0,4.0,Male,59.0,3.0,1.0,Laboratory Technician,1.0,Single,4721.0,3119.0,2.0,Y,Yes,13.0,3.0,3.0,80.0,0.0,20.0,3.0,3.0,18.0,13.0,2.0,17.0,Yes
2085,5616,41.0,Travel_Rarely,263.0,Research & Development,946786.0,3.0,Medical,1.0,4.0,Male,59.0,3.0,1.0,Laboratory Technician,1.0,Single,4721.0,3119.0,2.0,Y,Yes,13.0,3.0,3.0,80.0,0.0,20.0,3.0,3.0,18.0,13.0,2.0,17.0,Yes
2087,5618,36.0,Non-Travel,845.0,Sales,1.0,5.0,Medical,1.0,4.0,Female,45.0,3.0,2.0,Sales Executive,4.0,Single,6653.0,15276.0,4.0,Y,No,15.0,3.0,2.0,80.0,0.0,7.0,6.0,3.0,1.0,0.0,0.0,0.0,Yes
2088,5619,30.0,Travel_Rarely,1358.0,Research & Development,24.0,1.0,Life Sciences,1.0,4.0,Male,67.0,3.0,1.0,Laboratory Technician,3.0,Divorced,2693.0,13335.0,1.0,Y,No,22.0,4.0,2.0,80.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,No
2090,5621,30.0,Travel_Rarely,1358.0,Research & Development,24.0,1.0,Life Sciences,1.0,4.0,Male,67.0,3.0,1.0,Laboratory Technician,3.0,Divorced,2693.0,13335.0,1.0,Y,No,22.0,4.0,2.0,80.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,Yes
2092,5623,25.0,Travel_Rarely,141.0,Sales,3.0,1.0,Other,1.0,3.0,Male,98.0,3.0,2.0,Sales Executive,1.0,Married,4194.0,14363.0,1.0,Y,Yes,18.0,3.0,4.0,80.0,0.0,5.0,3.0,3.0,5.0,3.0,0.0,3.0,Yes
2093,5624,25.0,Travel_Rarely,141.0,Sales,3.0,1.0,Other,1.0,3.0,Male,98.0,3.0,2.0,Sales Executive,1.0,Married,4194.0,14363.0,1.0,Y,Yes,18.0,3.0,4.0,80.0,0.0,5.0,3.0,3.0,5.0,3.0,0.0,3.0,Yes
2095,5626,25.0,Travel_Rarely,883.0,Sales,26.0,1.0,Medical,1.0,3.0,Female,32.0,3.0,2.0,Sales Executive,4.0,Single,6180.0,22807.0,1.0,Y,No,23.0,4.0,2.0,80.0,0.0,6.0,5.0,2.0,6.0,4986.0,1.0,4.0,Yes
2097,5628,31.0,Travel_Rarely,542.0,Sales,20.0,3.0,Life Sciences,1.0,2.0,Female,71.0,1.0,2.0,Sales Executive,3.0,Married,4559.0,24788.0,3.0,Y,Yes,11.0,3.0,3.0,80.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,3922.0,Yes
2100,5631,29.0,Travel_Rarely,428.0,Sales,607220.0,3.0,Marketing,1.0,2.0,Female,52.0,1.0,1.0,Sales Representative,2.0,Single,2760.0,14630.0,1.0,Y,No,13.0,3.0,3.0,80.0,0.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,Yes
2104,5635,7952.0,Travel_Frequently,566.0,Research & Development,18.0,4.0,Life Sciences,1.0,3.0,Male,81.0,4.0,1.0,Laboratory Technician,4.0,Married,3688.0,7122.0,4.0,Y,No,18.0,3.0,4.0,80.0,2.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,Yes
2108,5639,49.0,Travel_Frequently,279.0,Research & Development,8.0,1.0,Life Sciences,1.0,3.0,Male,61.0,2.0,2.0,Research Scientist,2.0,Married,5130.0,24907.0,1.0,Y,No,23.0,4.0,4.0,80.0,1.0,10.0,3.0,3.0,10.0,7137.0,1.0,7.0,No
2111,5642,38.0,Travel_Rarely,1153.0,Research & Development,560047.0,2.0,Other,1.0,4.0,Female,40.0,2.0,1.0,Laboratory Technician,3.0,Married,3702.0,16376.0,1.0,Y,No,11.0,3.0,2.0,80.0,1.0,5.0,3.0,3.0,5.0,4.0,0.0,4.0,No
2117,5648,54.0,Non-Travel,142.0,Human Resources,840183.0,3.0,Human Resources,1.0,4.0,Female,30.0,4.0,4.0,Manager,4.0,Single,17328.0,13871.0,2.0,Y,Yes,12.0,3.0,3.0,80.0,0.0,23.0,3.0,3.0,5.0,3.0,4.0,4.0,Yes
2118,5649,33.0,Travel_Rarely,1277.0,Research & Development,15.0,1.0,Medical,1.0,2.0,Male,56.0,3.0,3.0,Manager,3.0,Married,13610.0,24619.0,7.0,Y,Yes,12.0,3.0,4.0,80.0,0.0,15.0,2.0,4.0,7.0,6.0,7.0,7.0,Yes
2119,5650,33.0,Travel_Rarely,1277.0,Research & Development,15.0,1.0,Medical,1.0,2.0,Male,56.0,3.0,3.0,Manager,3.0,Married,13610.0,24619.0,7.0,Y,Yes,12.0,3.0,4.0,80.0,0.0,15.0,2.0,4.0,7.0,6.0,7.0,7.0,Yes
2120,5651,33.0,Travel_Rarely,1277.0,Research & Development,15.0,1.0,Medical,1.0,2.0,Male,56.0,3.0,3.0,Manager,3.0,Married,13610.0,24619.0,7.0,Y,Yes,12.0,3.0,4.0,80.0,0.0,15.0,2.0,4.0,7.0,6.0,7.0,7.0,Yes
2129,5660,46.0,Travel_Rarely,1277.0,Sales,2.0,3.0,Life Sciences,1.0,3.0,Male,74.0,3.0,3.0,Sales Executive,4.0,Divorced,10368.0,5596.0,4.0,Y,Yes,12.0,3.0,2.0,80.0,1.0,13.0,5.0,2.0,10.0,6.0,8312.0,3.0,Yes
2130,5661,38.0,Travel_Rarely,1009.0,Sales,2.0,2.0,Life Sciences,1.0,2.0,Female,31.0,3.0,2.0,Sales Executive,1.0,Divorced,6893.0,19461.0,3.0,Y,No,15.0,3.0,4.0,80.0,1.0,11.0,3.0,3.0,7.0,7.0,1.0,7.0,No
2133,5664,53.0,Travel_Rarely,447.0,Research & Development,2.0,3.0,Medical,1.0,4.0,Male,39.0,4.0,4.0,Research Director,2.0,Single,16598.0,19764.0,4.0,Y,No,12.0,3.0,2.0,80.0,0.0,35.0,2.0,2.0,9.0,7635.0,8.0,8.0,No
2137,5668,31.0,Travel_Frequently,163.0,Research & Development,24.0,1.0,Technical Degree,1.0,4.0,Female,30.0,3.0,2.0,Manufacturing Director,4.0,Single,5238.0,6670.0,2.0,Y,No,20.0,4.0,4.0,80.0,0.0,9.0,3.0,2.0,5.0,4.0,1.0,4.0,No
2138,5669,31.0,Travel_Frequently,163.0,Research & Development,24.0,1.0,Technical Degree,1.0,4.0,Female,30.0,3.0,2.0,Manufacturing Director,4.0,Single,5238.0,6670.0,2.0,Y,No,20.0,4.0,4.0,80.0,0.0,9.0,3.0,2.0,5.0,4.0,1.0,4.0,No
2140,5671,42.0,Travel_Rarely,691.0,Sales,8.0,4.0,Marketing,1.0,3.0,Male,48.0,3.0,2.0,Sales Executive,2.0,Married,6825.0,21173.0,0.0,Y,No,11.0,3.0,4.0,80.0,1.0,7825.0,2.0,3.0,9.0,7.0,4.0,2.0,No
2147,5678,34.0,Travel_Rarely,1354.0,Research & Development,5.0,3.0,Medical,1.0,3.0,Female,45.0,2.0,3.0,Manager,1.0,Single,11631.0,5615.0,2.0,Y,No,12.0,3.0,4.0,80.0,0.0,14.0,6.0,3.0,11.0,10.0,5.0,8.0,Yes
2150,5681,36.0,Travel_Frequently,1302.0,Research & Development,999590.0,4.0,Life Sciences,1.0,1.0,Male,80.0,4.0,2.0,Laboratory Technician,1.0,Married,5562.0,19711.0,3.0,Y,Yes,13.0,3.0,4.0,80.0,1.0,9.0,3.0,3.0,3.0,2.0,0.0,2.0,No
2159,5690,32.0,Non-Travel,1474.0,Sales,11.0,4.0,Other,1.0,4.0,Male,60.0,4.0,2.0,Sales Executive,3.0,Married,4707.0,23914.0,8.0,Y,No,12.0,3.0,4.0,80.0,0.0,6.0,2.0,3.0,4.0,2.0,5894.0,2.0,Yes
2160,5691,32.0,Non-Travel,1474.0,Sales,11.0,4.0,Other,1.0,4.0,Male,60.0,4.0,2.0,Sales Executive,3.0,Married,4707.0,23914.0,8.0,Y,No,12.0,3.0,4.0,80.0,0.0,6.0,2.0,3.0,4.0,2.0,5894.0,2.0,Yes
2162,5693,30.0,Travel_Frequently,334.0,Sales,26.0,4.0,Marketing,1.0,3.0,Female,52.0,2.0,2.0,Sales Executive,1.0,Single,6696.0,22967.0,5.0,Y,No,15.0,3.0,3.0,80.0,0.0,9.0,5.0,2.0,6.0,3.0,0.0,1.0,Yes
2164,5695,40.0,Travel_Rarely,1137.0,Research & Development,1.0,4.0,Life Sciences,1.0,1.0,Male,98.0,3.0,4.0,Manager,1.0,Divorced,16823.0,18991.0,2.0,Y,No,11.0,3.0,1.0,80.0,1.0,22.0,3.0,3.0,19.0,7.0,11.0,16.0,Yes
2165,5696,40.0,Travel_Rarely,1137.0,Research & Development,1.0,4.0,Life Sciences,1.0,1.0,Male,98.0,3.0,4.0,Manager,1.0,Divorced,16823.0,18991.0,2.0,Y,No,11.0,3.0,1.0,80.0,1.0,22.0,3.0,3.0,19.0,7.0,11.0,16.0,Yes
2172,5703,48.0,Travel_Rarely,626.0,Research & Development,1.0,2.0,Life Sciences,1.0,1.0,Male,98.0,2.0,3.0,Laboratory Technician,3.0,Single,5381.0,19294.0,9.0,Y,Yes,13.0,3.0,4.0,80.0,0.0,23.0,2.0,3.0,1.0,0.0,0.0,0.0,Yes
2175,5706,58.0,Travel_Rarely,1272.0,Research & Development,5.0,3.0,Technical Degree,1.0,3.0,Female,37.0,2.0,3.0,Healthcare Representative,2.0,Divorced,10552.0,9255.0,2.0,Y,Yes,13.0,3.0,4.0,80.0,1.0,24.0,3.0,3.0,6.0,0.0,0.0,4.0,No
2177,5708,58.0,Travel_Rarely,1272.0,Research & Development,5.0,3.0,Technical Degree,1.0,3.0,Female,37.0,2.0,3.0,Healthcare Representative,2.0,Divorced,10552.0,9255.0,2.0,Y,Yes,13.0,3.0,4.0,80.0,1.0,24.0,3.0,3.0,6.0,0.0,0.0,4.0,Yes
2181,5712,41.0,Travel_Rarely,796.0,Sales,4.0,1.0,Marketing,1.0,3.0,Female,81.0,3.0,3.0,Sales Executive,3.0,Divorced,10447.0,26458.0,0.0,Y,Yes,13.0,3.0,4.0,80.0,1.0,23.0,3.0,4.0,6797.0,14.0,13.0,5.0,Yes
2183,5714,42.0,Non-Travel,179.0,Human Resources,2.0,5.0,Medical,1.0,4.0,Male,79.0,4.0,2.0,Human Resources,1.0,Married,6272.0,12858.0,7.0,Y,No,16.0,3.0,1.0,80.0,1.0,10.0,3.0,4.0,4.0,1797.0,0.0,3.0,No
2187,5718,32.0,Travel_Rarely,1033.0,Research & Development,9.0,3.0,Medical,1.0,1.0,Female,41.0,3.0,1.0,Laboratory Technician,1.0,Single,4200.0,10224.0,7.0,Y,No,22.0,4.0,1.0,80.0,0.0,10.0,2.0,4.0,5.0,4.0,0.0,8672.0,Yes
2189,5720,51.0,Travel_Rarely,833.0,Research & Development,1.0,3.0,Life Sciences,1.0,3.0,Male,96.0,3.0,1.0,Research Scientist,4.0,Married,2723.0,23231.0,1.0,Y,No,11.0,3.0,2.0,80.0,0.0,1.0,0.0,2.0,1.0,9193.0,0.0,0.0,Yes
2192,5723,3147.0,Travel_Rarely,1454.0,Sales,2.0,4.0,Life Sciences,1.0,4.0,Female,65.0,2.0,1.0,Sales Representative,4.0,Single,3294.0,13137.0,1.0,Y,Yes,18.0,3.0,1.0,80.0,0.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,Yes
2194,5725,53.0,Travel_Rarely,1084.0,Research & Development,13.0,2.0,Medical,1.0,4.0,Female,57.0,4.0,2.0,Manufacturing Director,1.0,Divorced,4450.0,26250.0,1.0,Y,No,11.0,3.0,3.0,80.0,2.0,5.0,3.0,3.0,4.0,2.0,1.0,3.0,Yes
2197,5728,24.0,Travel_Rarely,1127.0,Research & Development,18.0,1.0,Life Sciences,1.0,2.0,Male,52.0,3.0,1.0,Laboratory Technician,3.0,Married,2774.0,13257.0,0.0,Y,No,12.0,3.0,3.0,80.0,1.0,6.0,2.0,3.0,5.0,3.0,1.0,2.0,Yes
2198,5729,24.0,Travel_Rarely,1127.0,Research & Development,18.0,1.0,Life Sciences,1.0,2.0,Male,52.0,3.0,1.0,Laboratory Technician,3.0,Married,2774.0,13257.0,0.0,Y,No,12.0,3.0,3.0,80.0,1.0,6.0,2.0,3.0,5.0,3.0,1.0,2.0,No
2202,5733,34.0,Travel_Rarely,258.0,Sales,21.0,4.0,Life Sciences,1.0,4.0,Male,74.0,4.0,2.0,Sales Executive,4.0,Single,5337.0,19921.0,1.0,Y,No,12.0,3.0,4.0,80.0,0.0,10.0,3.0,3.0,10.0,7.0,2293.0,7.0,Yes
2203,5734,34.0,Travel_Rarely,258.0,Sales,21.0,4.0,Life Sciences,1.0,4.0,Male,74.0,4.0,2.0,Sales Executive,4.0,Single,5337.0,19921.0,1.0,Y,No,12.0,3.0,4.0,80.0,0.0,10.0,3.0,3.0,10.0,7.0,2293.0,7.0,Yes
2205,5736,29.0,Travel_Rarely,1378.0,Research & Development,13.0,2.0,Other,1.0,4.0,Male,46.0,2.0,2.0,Laboratory Technician,2.0,Married,4025.0,23679.0,4.0,Y,Yes,13.0,3.0,1.0,80.0,1.0,10.0,2.0,3.0,7547.0,3.0,0.0,3.0,No
2208,5739,58.0,Travel_Rarely,682.0,Sales,10.0,4.0,Medical,1.0,4.0,Male,37.0,3.0,4.0,Sales Executive,3.0,Single,13872.0,24409.0,0.0,Y,No,13.0,3.0,3.0,80.0,0.0,38.0,1.0,2.0,37.0,10.0,1.0,8.0,No
2210,5741,29.0,Travel_Rarely,1092.0,Research & Development,1.0,4.0,Medical,1.0,1.0,Male,36.0,3.0,1.0,Research Scientist,4.0,Married,4787.0,26124.0,9.0,Y,Yes,14.0,3.0,2.0,80.0,3.0,4.0,3.0,4.0,6133.0,2.0,2.0,2.0,Yes
2213,5744,54.0,Travel_Rarely,971.0,Research & Development,1.0,3.0,Medical,1.0,4.0,Female,54.0,3.0,4.0,Research Director,4.0,Single,17328.0,5652.0,6.0,Y,No,19.0,3.0,4.0,80.0,0.0,29.0,3.0,2.0,20.0,7.0,6747.0,7.0,No
2220,5751,34.0,Travel_Rarely,131.0,Sales,2.0,3.0,Marketing,1.0,3.0,Female,86.0,3.0,2.0,Sales Executive,1.0,Single,4538.0,6039.0,0.0,Y,Yes,12.0,3.0,4.0,80.0,0.0,4607.0,3.0,3.0,3.0,2.0,0.0,2.0,No
2221,5752,34.0,Travel_Rarely,131.0,Sales,2.0,3.0,Marketing,1.0,3.0,Female,86.0,3.0,2.0,Sales Executive,1.0,Single,4538.0,6039.0,0.0,Y,Yes,12.0,3.0,4.0,80.0,0.0,4607.0,3.0,3.0,3.0,2.0,0.0,2.0,No
2224,5755,25.0,Travel_Rarely,583.0,Sales,4.0,1.0,Marketing,1.0,3.0,Male,87.0,2.0,2.0,Sales Executive,1.0,Married,4256.0,18154.0,1.0,Y,No,12.0,3.0,1.0,80.0,0.0,5.0,1.0,4.0,5.0,6691.0,0.0,3.0,Yes
2226,5757,40.0,Travel_Rarely,905.0,Research & Development,19.0,2.0,Medical,1.0,3.0,Male,99.0,3.0,2.0,Laboratory Technician,4.0,Married,2741.0,16523.0,8.0,Y,Yes,15.0,3.0,3.0,80.0,1.0,15.0,2.0,4.0,7.0,2.0,3.0,7.0,Yes
2228,5759,22.0,Travel_Rarely,617.0,Research & Development,3.0,1.0,Life Sciences,1.0,2.0,Female,34.0,3.0,2.0,Manufacturing Director,3.0,Married,4171.0,10022.0,0.0,Y,Yes,19.0,3.0,1.0,80.0,1.0,4.0,3.0,4.0,3.0,2.0,0.0,2.0,Yes
2229,5760,22.0,Travel_Rarely,617.0,Research & Development,3.0,1.0,Life Sciences,1.0,2.0,Female,34.0,3.0,2.0,Manufacturing Director,3.0,Married,4171.0,10022.0,0.0,Y,Yes,19.0,3.0,1.0,80.0,1.0,4.0,3.0,4.0,3.0,2.0,0.0,2.0,Yes
2234,5765,28.0,Travel_Rarely,1451.0,Research & Development,2.0,1.0,Life Sciences,1.0,1.0,Male,67.0,2.0,1.0,Research Scientist,2.0,Married,3201.0,19911.0,0.0,Y,No,17.0,3.0,1.0,80.0,0.0,6.0,2.0,1.0,5.0,3.0,0.0,5048.0,Yes
2236,5767,40.0,Travel_Rarely,896.0,Research & Development,2.0,3.0,Medical,1.0,3.0,Male,68.0,3.0,1.0,Research Scientist,3.0,Divorced,2345.0,8045.0,2.0,Y,No,14.0,3.0,3.0,80.0,1.0,8.0,3.0,4.0,3.0,9596.0,1.0,2.0,No
2237,5768,40.0,Travel_Rarely,896.0,Research & Development,2.0,3.0,Medical,1.0,3.0,Male,68.0,3.0,1.0,Research Scientist,3.0,Divorced,2345.0,8045.0,2.0,Y,No,14.0,3.0,3.0,80.0,1.0,8.0,3.0,4.0,3.0,9596.0,1.0,2.0,No
2240,5771,9531.0,Travel_Rarely,189.0,Human Resources,26.0,4.0,Human Resources,1.0,3.0,Male,71.0,4.0,5.0,Manager,2.0,Married,19636.0,25811.0,4.0,Y,Yes,18.0,3.0,1.0,80.0,1.0,35.0,0.0,3.0,10.0,9.0,1.0,4.0,Yes
2247,5778,29.0,Travel_Rarely,224.0,Research & Development,1.0,4.0,Technical Degree,1.0,1.0,Male,100.0,2.0,1.0,Research Scientist,1.0,Single,2362.0,7568.0,6.0,Y,No,13.0,3.0,3.0,80.0,0.0,11.0,2.0,1.0,8717.0,7.0,0.0,7.0,Yes
2248,5779,29.0,Travel_Rarely,224.0,Research & Development,1.0,4.0,Technical Degree,1.0,1.0,Male,100.0,2.0,1.0,Research Scientist,1.0,Single,2362.0,7568.0,6.0,Y,No,13.0,3.0,3.0,80.0,0.0,11.0,2.0,1.0,8717.0,7.0,0.0,7.0,Yes
2249,5780,35.0,Travel_Frequently,636.0,Research & Development,4.0,4.0,Other,1.0,4.0,Male,47.0,2.0,1.0,Laboratory Technician,4.0,Married,2376.0,26537.0,1.0,Y,No,13.0,3.0,2.0,80.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,No
2251,5782,35.0,Travel_Frequently,636.0,Research & Development,4.0,4.0,Other,1.0,4.0,Male,47.0,2.0,1.0,Laboratory Technician,4.0,Married,2376.0,26537.0,1.0,Y,No,13.0,3.0,2.0,80.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,Yes
2254,5785,8167.0,Non-Travel,504.0,Research & Development,10.0,3.0,Medical,1.0,1.0,Female,96.0,2.0,1.0,Research Scientist,2.0,Single,1859.0,6148.0,1.0,Y,Yes,25.0,4.0,2.0,80.0,0.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,Yes
2258,5789,43.0,Non-Travel,343.0,Research & Development,516738.0,3.0,Life Sciences,1.0,1.0,Male,52.0,3.0,1.0,Research Scientist,3.0,Single,2438.0,24978.0,4.0,Y,No,13.0,3.0,3.0,80.0,0.0,7.0,2.0,2.0,3.0,2.0,1.0,2.0,Yes
2259,5790,29.0,Travel_Rarely,153.0,Research & Development,15.0,2.0,Life Sciences,1.0,4.0,Female,49.0,2.0,2.0,Laboratory Technician,3.0,Single,4193.0,12682.0,0.0,Y,Yes,12.0,3.0,4.0,80.0,0.0,10.0,3.0,3.0,9.0,5.0,0.0,8.0,No
